Voltage,Percentage,Temperature,Elapsed Time
3688,35,2680.0,3852.556
3688,35,2680.0,3853.066
3687,35,2690.0,3870.188
3687,35,2690.0,3870.7
3699,35,2680.0,3884.52
3699,35,2680.0,3884.536
3699,35,2680.0,3884.548
3699,35,2680.0,3885.056
3699,35,2680.0,3901.684
3699,35,2680.0,3901.729
3699,35,2680.0,3901.776
3699,34,2680.0,3901.794
3681,34,2690.0,3901.88
3690,34,2700.0,3902.384
3690,34,2700.0,3902.89
3690,34,2700.0,3903.779
3690,34,2700.0,3903.981
3690,34,2700.0,3904.021
3690,34,2700.0,3904.034
3690,34,2700.0,3904.543
3690,34,2700.0,3905.73
3690,34,2700.0,3905.774
3690,34,2700.0,3905.788
3690,34,2700.0,3906.296
3690,34,2700.0,3958.633
3690,34,2700.0,3958.656
3690,34,2700.0,3958.672
3690,34,2700.0,3959.181
3683,34,2710.0,3963.499
3683,33,2710.0,3963.502
3689,33,2720.0,3963.506
3689,33,2720.0,3964.009
3689,33,2720.0,3980.613
3689,33,2720.0,3980.716
3689,33,2720.0,3980.806
3689,33,2720.0,3980.905
3689,33,2720.0,3981.414
3691,33,2710.0,3983.35
3691,33,2710.0,3983.859
3691,33,2710.0,3984.464
3691,33,2710.0,3984.532
3691,33,2710.0,3984.557
3691,33,2710.0,3985.066
3684,33,2720.0,3993.479
3684,33,2720.0,3993.994
3684,32,2720.0,3995.093
3684,32,2720.0,3995.609
3684,32,2720.0,4005.183
3684,32,2720.0,4005.232
3684,32,2720.0,4005.254
3684,32,2720.0,4005.76
3684,32,2720.0,4007.771
3684,32,2720.0,4007.861
3684,32,2720.0,4007.914
3684,32,2720.0,4008.419
3668,32,2710.0,4013.809
3668,32,2710.0,4014.328
3668,32,2710.0,4025.863
3668,32,2710.0,4025.9
3668,32,2710.0,4025.909
3668,32,2710.0,4025.923
3668,32,2710.0,4026.441
3668,32,2710.0,4030.828
3668,32,2710.0,4030.873
3668,32,2710.0,4030.92
3668,32,2710.0,4031.433
3665,32,2720.0,4034.142
3665,32,2720.0,4034.652
3665,31,2720.0,4050.716
3665,31,2720.0,4051.23
3665,31,2720.0,4052.568
3665,31,2720.0,4052.615
3665,31,2720.0,4052.629
3665,31,2720.0,4052.638
3665,31,2720.0,4053.142
3665,31,2720.0,4063.052
3665,31,2720.0,4063.097
3665,31,2720.0,4063.193
3665,31,2720.0,4063.698
3665,31,2720.0,4084.647
3665,31,2720.0,4084.704
3665,31,2720.0,4084.747
3665,31,2720.0,4084.798
3665,31,2720.0,4085.312
3665,31,2720.0,4087.138
3665,31,2720.0,4087.18
3665,31,2720.0,4087.278
3665,31,2720.0,4087.79
3665,31,2710.0,4105.413
3665,31,2710.0,4105.932
3667,31,2720.0,4107.753
3667,30,2720.0,4107.77
3667,30,2720.0,4108.279
3667,30,2720.0,4115.128
3667,30,2720.0,4115.165
3667,30,2720.0,4115.261
3667,30,2720.0,4115.31
3667,30,2720.0,4115.82
3667,30,2720.0,4117.018
3667,30,2720.0,4117.075
3667,30,2720.0,4117.163
3667,30,2720.0,4117.681
3662,30,2710.0,4125.792
3662,30,2710.0,4126.302
3662,30,2710.0,4135.884
3662,30,2710.0,4135.904
3662,30,2710.0,4135.937
3662,30,2710.0,4136.033
3685,30,2700.0,4136.078
3685,30,2700.0,4136.588
3685,30,2700.0,4143.148
3685,30,2700.0,4143.196
3685,30,2700.0,4143.243
3685,30,2700.0,4143.762
3616,30,2720.0,4146.171
3616,30,2720.0,4146.679
3641,30,2710.0,4156.308
3641,30,2710.0,4156.824
3641,29,2710.0,4160.559
3641,29,2710.0,4161.081
3641,29,2710.0,4176.006
3641,29,2710.0,4176.104
3641,29,2710.0,4176.156
3641,29,2710.0,4176.172
3641,29,2710.0,4176.679
3664,29,2700.0,4176.695
3664,29,2700.0,4177.209
3664,29,2700.0,4179.66
3664,29,2700.0,4179.712
3664,29,2700.0,4179.759
3664,29,2700.0,4180.272
3664,29,2700.0,4211.792
3664,29,2700.0,4211.837
3664,29,2700.0,4211.936
3664,29,2700.0,4211.958
3664,29,2700.0,4212.467
3664,28,2700.0,4213.406
3664,28,2700.0,4213.452
3664,28,2700.0,4213.561
3664,28,2700.0,4213.644
3664,28,2700.0,4214.158
3664,28,2700.0,4232.901
3664,28,2700.0,4232.959
3664,28,2700.0,4233.045
3664,28,2700.0,4233.057
3664,28,2700.0,4233.571
3664,28,2700.0,4235.539
3664,28,2700.0,4235.582
3664,28,2700.0,4235.677
3664,28,2700.0,4236.189
3659,28,2690.0,4237.776
3659,28,2690.0,4238.29
3654,28,2700.0,4247.933
3654,28,2700.0,4248.451
3638,28,2690.0,4258.053
3638,28,2690.0,4258.56
3638,28,2690.0,4258.985
3638,28,2690.0,4259.028
3638,28,2690.0,4259.077
3638,28,2690.0,4259.136
3638,28,2690.0,4259.648
3638,28,2690.0,4262.348
3638,28,2690.0,4262.394
3638,28,2690.0,4262.494
3638,28,2690.0,4263.008
3650,28,2700.0,4266.145
3650,27,2700.0,4266.194
3650,27,2700.0,4266.716
3641,27,2690.0,4268.243
3641,27,2690.0,4268.756
3641,26,2690.0,4318.996
3641,26,2690.0,4319.335
3641,26,2690.0,4319.388
3641,26,2690.0,4319.436
3641,26,2690.0,4319.48
3641,26,2690.0,4319.991
3641,26,2690.0,4322.801
3641,26,2690.0,4322.845
3641,26,2690.0,4322.91
3641,26,2690.0,4323.421
3641,26,2690.0,4348.781
3641,26,2690.0,4348.833
3641,26,2690.0,4348.855
3641,26,2690.0,4348.885
3641,26,2690.0,4349.397
3641,26,2690.0,4355.508
3641,26,2690.0,4355.606
3641,26,2690.0,4355.722
3641,26,2690.0,4356.234
3641,25,2690.0,4371.841
3641,25,2690.0,4372.361
3641,25,2690.0,4393.588
3641,25,2690.0,4393.635
3641,25,2690.0,4393.681
3641,25,2690.0,4393.73
3641,25,2690.0,4394.237
3670,25,2680.0,4400.704
3670,25,2680.0,4401.218
3670,25,2680.0,4433.958
3670,25,2680.0,4433.997
3670,25,2680.0,4434.047
3670,25,2680.0,4434.56
3670,24,2680.0,4438.551
3670,24,2680.0,4439.065
3670,24,2680.0,4483.239
3670,24,2680.0,4483.337
3670,24,2680.0,4483.434
3670,24,2680.0,4483.532
3670,24,2680.0,4484.052
3670,23,2680.0,4492.892
3670,23,2680.0,4493.406
3672,23,2670.0,4502.446
3672,23,2670.0,4502.959
3664,23,2660.0,4533.016
3664,23,2660.0,4533.532
3670,23,2670.0,4543.203
3670,23,2670.0,4543.72
3672,23,2660.0,4553.439
3672,23,2660.0,4553.949
3658,23,2670.0,4573.771
3658,23,2670.0,4574.288
3658,22,2670.0,4581.771
3658,22,2670.0,4582.281
3658,22,2670.0,4586.591
3658,22,2670.0,4587.098
3658,22,2670.0,4589.908
3658,22,2670.0,4590.428
3590,22,2680.0,4594.923
3590,22,2680.0,4595.431
3669,22,2690.0,4604.337
3669,22,2690.0,4604.843
3667,22,2700.0,4614.538
3667,22,2700.0,4615.054
3659,22,2720.0,4624.714
3659,22,2720.0,4625.243
3656,22,2730.0,4634.906
3656,22,2730.0,4635.413
3656,22,2730.0,4636.325
3656,22,2730.0,4636.358
3656,22,2730.0,4636.414
3656,22,2730.0,4636.921
3656,22,2730.0,4637.738
3656,22,2730.0,4637.783
3656,22,2730.0,4637.803
3656,22,2730.0,4637.829
3656,22,2730.0,4637.846
3656,22,2730.0,4638.357
3656,22,2730.0,4641.931
3656,22,2730.0,4642.452
3655,22,2740.0,4645.098
3655,22,2740.0,4645.616
3655,22,2740.0,4649.29
3655,22,2740.0,4649.307
3655,22,2740.0,4649.337
3655,22,2740.0,4649.855
3655,22,2740.0,4652.657
3655,22,2740.0,4652.687
3655,22,2740.0,4652.749
3655,22,2740.0,4652.798
3655,22,2740.0,4653.32
3655,22,2740.0,4655.381
3653,22,2760.0,4655.53
3653,22,2760.0,4656.052
3653,21,2760.0,4656.757
3653,21,2760.0,4657.284
3653,21,2760.0,4658.552
3653,21,2760.0,4659.071
3653,21,2760.0,4661.872
3653,21,2760.0,4662.381
3653,21,2760.0,4665.035
3653,21,2760.0,4665.542
3655,21,2770.0,4665.762
3655,21,2770.0,4666.268
3655,21,2770.0,4674.84
3655,21,2770.0,4674.895
3655,21,2770.0,4674.945
3655,21,2770.0,4675.463
3629,21,2800.0,4685.956
3629,21,2800.0,4686.496
3631,21,2810.0,4696.193
3631,21,2810.0,4696.699
3637,21,2820.0,4706.283
3637,21,2820.0,4706.805
3637,20,2820.0,4713.794
3637,20,2820.0,4714.316
3637,20,2820.0,4714.718
3637,20,2820.0,4714.865
3637,20,2820.0,4714.914
3637,20,2820.0,4714.962
3637,20,2820.0,4715.479
3637,20,2820.0,4723.012
3637,20,2820.0,4723.104
3637,20,2820.0,4723.205
3637,20,2820.0,4723.729
3637,20,2820.0,4726.529
3637,20,2820.0,4726.582
3637,20,2820.0,4726.614
3637,20,2820.0,4727.147
3637,20,2820.0,4728.565
3637,20,2820.0,4728.66
3637,20,2820.0,4728.695
3637,20,2820.0,4729.208
3637,19,2820.0,4767.913
3637,19,2820.0,4768.428
3632,19,2830.0,4787.748
3632,19,2830.0,4788.267
3618,19,2840.0,4797.943
3618,19,2840.0,4798.454
3608,19,2850.0,4808.079
3608,19,2850.0,4808.601
3626,19,2860.0,4818.265
3626,19,2860.0,4818.778
3629,19,2870.0,4820.778
3629,18,2870.0,4820.9
3629,18,2870.0,4821.414
3615,18,2880.0,4828.413
3615,18,2880.0,4828.931
3625,18,2890.0,4848.785
3625,18,2890.0,4849.295
3606,18,2910.0,4858.93
3606,18,2910.0,4859.449
3614,17,2920.0,4872.189
3614,17,2920.0,4872.233
3614,17,2920.0,4872.741
3611,17,2930.0,4889.452
3611,17,2930.0,4889.966
3600,17,2940.0,4899.634
3600,17,2940.0,4900.148
3604,17,2950.0,4909.827
3604,17,2950.0,4910.338
3607,17,2970.0,4920.03
3607,17,2970.0,4920.542
3619,16,2960.0,4923.624
3619,16,2960.0,4923.644
3619,16,2960.0,4924.157
3606,16,2970.0,4930.256
3606,16,2970.0,4930.767
3607,16,2980.0,4950.676
3607,16,2980.0,4951.186
3600,16,2990.0,4960.865
