Bitrate_Mbps,CDF
1.337048,0.2703862660944206
1.343512,0.27253218884120173
1.362608,0.27467811158798283
1.366512,0.27682403433476394
1.368456,0.27896995708154504
1.369496,0.2811158798283262
1.380784,0.2832618025751073
1.384416,0.2854077253218884
1.399192,0.2875536480686695
1.404072,0.28969957081545067
1.409024,0.2918454935622318
1.412272,0.2939914163090129
1.41976,0.296137339055794
1.430504,0.2982832618025751
1.449592,0.30042918454935624
1.455016,0.30257510729613735
1.460528,0.30472103004291845
1.474072,0.30686695278969955
1.478584,0.3090128755364807
1.492896,0.3111587982832618
1.495392,0.3133047210300429
1.499208,0.315450643776824
1.501232,0.31759656652360513
1.501376,0.3197424892703863
1.510568,0.3218884120171674
1.51128,0.3240343347639485
1.514136,0.3261802575107296
1.519328,0.3283261802575107
1.52304,0.33047210300429186
1.531744,0.33261802575107297
1.535624,0.33476394849785407
1.5408,0.3369098712446352
1.542248,0.33905579399141633
1.547112,0.34120171673819744
1.547304,0.34334763948497854
1.549088,0.34549356223175964
1.560552,0.34763948497854075
1.568616,0.3497854077253219
1.58096,0.351931330472103
1.582936,0.3540772532188841
1.58392,0.3562231759656652
1.604904,0.3583690987124464
1.608008,0.3605150214592275
1.611148,0.3626609442060086
1.620016,0.3648068669527897
1.621312,0.3669527896995708
1.624568,0.36909871244635195
1.626224,0.37124463519313305
1.632232,0.37339055793991416
1.650192,0.37553648068669526
1.663736,0.3776824034334764
1.668144,0.3798283261802575
1.669224,0.38197424892703863
1.679224,0.38412017167381973
1.68696,0.38626609442060084
1.693896,0.388412017167382
1.701376,0.3905579399141631
1.705512,0.3927038626609442
1.70784,0.3948497854077253
1.714032,0.3969957081545064
1.725392,0.39914163090128757
1.73332,0.4012875536480687
1.736456,0.4034334763948498
1.742016,0.4055793991416309
1.744928,0.40772532188841204
1.747968,0.40987124463519314
1.76056,0.41201716738197425
1.762856,0.41416309012875535
1.763944,0.41630901287553645
1.775424,0.4184549356223176
1.777136,0.4206008583690987
1.787568,0.4227467811158798
1.790768,0.4248927038626609
1.795424,0.4270386266094421
1.799224,0.4291845493562232
1.7996,0.4313304721030043
1.800736,0.4334763948497854
1.802648,0.4356223175965665
1.805096,0.43776824034334766
1.813312,0.43991416309012876
1.81596,0.44206008583690987
1.816528,0.44420600858369097
1.82504,0.44635193133047213
1.826128,0.44849785407725323
1.83356,0.45064377682403434
1.834192,0.45278969957081544
1.836848,0.45493562231759654
1.84168,0.4570815450643777
1.845208,0.4592274678111588
1.851152,0.4613733905579399
1.853896,0.463519313304721
1.855512,0.4656652360515021
1.855832,0.4678111587982833
1.858088,0.4699570815450644
1.860352,0.4721030042918455
1.86436,0.4742489270386266
1.866136,0.47639484978540775
1.867496,0.47854077253218885
1.876752,0.48068669527896996
1.881544,0.48283261802575106
1.88596,0.48497854077253216
1.888176,0.4871244635193133
1.894056,0.4892703862660944
