Average_Bitrate_Mbps,CDF
2.10166,0.9325044404973357
2.10467,0.9342806394316163
2.10506,0.9360568383658969
2.10576,0.9378330373001776
2.10589,0.9396092362344582
2.1072,0.9413854351687388
2.10742,0.9431616341030196
2.11098,0.9449378330373002
2.11219,0.9467140319715808
2.11261,0.9484902309058615
2.11466,0.9502664298401421
2.11866,0.9520426287744227
2.11878,0.9538188277087034
2.12182,0.955595026642984
2.12397,0.9573712255772646
2.13325,0.9591474245115453
2.13459,0.9609236234458259
2.13523,0.9626998223801065
2.14083,0.9644760213143873
2.14112,0.9662522202486679
2.14554,0.9680284191829485
2.14669,0.9698046181172292
2.15216,0.9715808170515098
2.15574,0.9733570159857904
2.15792,0.9751332149200711
2.1607,0.9769094138543517
2.16528,0.9786856127886323
2.17933,0.9804618117229129
2.17952,0.9822380106571936
2.21926,0.9840142095914742
2.22944,0.9857904085257548
2.23706,0.9875666074600356
2.27446,0.9893428063943162
2.27693,0.9911190053285968
2.28538,0.9928952042628775
2.31843,0.9946714031971581
2.46349,0.9964476021314387
2.51315,0.9982238010657194
2.63053,1.0
