Test,Tx Power,Distance,Senarios,RSSI (dbm),Throughput (KB/S),Throughput (Kbps),Current (A),Power (W),
31,N6,10,Wall,-90,4.107,32.856,0.104,0.34424,
32,N6,15,Wall,-83,4.82,38.56,0.104,0.34424,
33,N6,0,Crowded,-45,10.083,80.664,0.104,0.34424,
34,N6,5,Crowded,-62,4.471333333,35.77066667,0.104,0.34424,
35,N6,10,Crowded,-69,2.905666667,23.24533333,0.104,0.34424,
36,N6,0,Lobby,-34,9.116896552,72.93517241,0.104,0.34424,
37,N6,5,Lobby,-55,8.511724138,68.0937931,0.104,0.34424,
38,N6,10,Lobby,-78,8.494137931,67.95310345,0.104,0.34424,
39,N6,15,Lobby,-64,9.559333333,76.47466667,0.104,0.34424,Disconnects Frequently
40,N6,20,Lobby,-77,6.762413793,54.09931034,0.104,0.34424,
